survived,sex,passenger_class,name,age,fare,n_siblings_spouses_aboard,n_parents_children_aboard
No,Male,Third,Mr. Owen Harris Braund,22,7.25,1,0
Yes,Female,First,Mrs. John Bradley (Florence Briggs Thayer) Cumings,38,71.2833,1,0
Yes,Female,Third,Miss. Laina Heikkinen,26,7.925,0,0
Yes,Female,First,Mrs. Jacques Heath (Lily May Peel) Futrelle,35,53.1,1,0
No,Male,Third,Mr. William Henry Allen,35,8.05,0,0
No,Male,Third,Mr. James Moran,27,8.4583,0,0
No,Male,First,Mr. Timothy J McCarthy,54,51.8625,0,0
No,Male,Third,Master. Gosta Leonard Palsson,2,21.075,3,1
Yes,Female,Third,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,27,11.1333,0,2
Yes,Female,Second,Mrs. Nicholas (Adele Achem) Nasser,14,30.0708,1,0
Yes,Female,Third,Miss. Marguerite Rut Sandstrom,4,16.7,1,1
Yes,Female,First,Miss. Elizabeth Bonnell,58,26.55,0,0
No,Male,Third,Mr. William Henry Saundercock,20,8.05,0,0
No,Male,Third,Mr. Anders Johan Andersson,39,31.275,1,5
No,Female,Third,Miss. Hulda Amanda Adolfina Vestrom,14,7.8542,0,0
Yes,Female,Second,Mrs. (Mary D Kingcome) Hewlett,55,16,0,0
No,Male,Third,Master. Eugene Rice,2,29.125,4,1
Yes,Male,Second,Mr. Charles Eugene Williams,23,13,0,0
No,Female,Third,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,31,18,1,0
Yes,Female,Third,Mrs. Fatima Masselmani,22,7.225,0,0
No,Male,Second,Mr. Joseph J Fynney,35,26,0,0
Yes,Male,Second,Mr. Lawrence Beesley,34,13,0,0
Yes,Female,Third,Miss. Anna McGowan,15,8.0292,0,0
Yes,Male,First,Mr. William Thompson Sloper,28,35.5,0,0
No,Female,Third,Miss. Torborg Danira Palsson,8,21.075,3,1
Yes,Female,Third,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,38,31.3875,1,5
No,Male,Third,Mr. Farred Chehab Emir,26,7.225,0,0
No,Male,First,Mr. Charles Alexander Fortune,19,263,3,2
Yes,Female,Third,Miss. Ellen O'Dwyer,24,7.8792,0,0
No,Male,Third,Mr. Lalio Todoroff,23,7.8958,0,0
No,Male,First,Don. Manuel E Uruchurtu,40,27.7208,0,0
Yes,Female,First,Mrs. William Augustus (Marie Eugenie) Spencer,48,146.5208,1,0
Yes,Female,Third,Miss. Mary Agatha Glynn,18,7.75,0,0
No,Male,Second,Mr. Edward H Wheadon,66,10.5,0,0
No,Male,First,Mr. Edgar Joseph Meyer,28,82.1708,1,0
No,Male,First,Mr. Alexander Oskar Holverson,42,52,1,0
Yes,Male,Third,Mr. Hanna Mamee,18,7.2292,0,0
No,Male,Third,Mr. Ernest Charles Cann,21,8.05,0,0
No,Female,Third,Miss. Augusta Maria Vander Planke,18,18,2,0
Yes,Female,Third,Miss. Jamila Nicola-Yarred,14,11.2417,1,0
No,Female,Third,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,40,9.475,1,0
No,Female,Second,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,27,21,1,0
Yes,Female,Second,Miss. Simonne Marie Anne Andree Laroche,3,41.5792,1,2
Yes,Female,Third,Miss. Margaret Delia Devaney,19,7.8792,0,0
No,Male,Third,Mr. William John Rogers,30,8.05,0,0
No,Male,Third,Mr. Denis Lennon,20,15.5,1,0
Yes,Female,Third,Miss. Bridget O'Driscoll,27,7.75,0,0
No,Male,Third,Mr. Youssef Samaan,16,21.6792,2,0
No,Female,Third,Mrs. Josef (Josefine Franchi) Arnold-Franchi,18,17.8,1,0
No,Male,Third,Master. Juha Niilo Panula,7,39.6875,4,1
No,Male,Third,Mr. Richard Cater Nosworthy,21,7.8,0,0
Yes,Female,First,Mrs. Henry Sleeper (Myna Haxtun) Harper,49,76.7292,1,0
Yes,Female,Second,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,29,26,1,0
No,Male,First,Mr. Engelhart Cornelius Ostby,65,61.9792,0,1
Yes,Male,First,Mr. Hugh Woolner,46,35.5,0,0
Yes,Female,Second,Miss. Emily Rugg,21,10.5,0,0
No,Male,Third,Mr. Mansouer Novel,28.5,7.2292,0,0
Yes,Female,Second,Miss. Constance Mirium West,5,27.75,1,2
No,Male,Third,Master. William Frederick Goodwin,11,46.9,5,2
No,Male,Third,Mr. Orsen Sirayanian,22,7.2292,0,0
Yes,Female,First,Miss. Amelie Icard,38,80,0,0
No,Male,First,Mr. Henry Birkhardt Harris,45,83.475,1,0
No,Male,Third,Master. Harald Skoog,4,27.9,3,2
No,Male,First,Mr. Albert A Stewart,64,27.7208,0,0
Yes,Male,Third,Master. Gerios Moubarek,7,15.2458,1,1
Yes,Female,Second,Mrs. (Elizabeth Ramell) Nye,29,10.5,0,0
